Frequenz(ms);Kanal A(mV);Kanal B(V)
0,00000000;-20,97232000;1,63182500
0,00256000;-20,05676000;1,63182500
0,00512000;-21,88787000;1,63182500
0,00768000;-21,88787000;1,63182500
0,01024000;-24,63149000;1,72277000
0,01280000;-22,80038000;1,72277000
0,01536000;-21,88787000;1,72277000
0,01792000;-23,71593000;1,72277000
0,02048000;-21,88787000;1,72277000
0,02304000;-21,88787000;1,63182500
0,02560000;-21,88787000;1,72277000
0,02816000;-25,54704000;1,72277000
0,03072000;-23,71593000;1,72277000
0,03328000;-24,63149000;1,72277000
0,03584000;-23,71593000;1,72277000
0,03840000;-20,05676000;1,72277000
0,04096000;-23,71593000;1,72277000
0,04352000;-23,71593000;1,72277000
0,04608000;-23,71593000;1,72277000
0,04864000;-23,71593000;1,81371500
0,05120000;-24,63149000;1,81371500
0,05376000;-24,63149000;1,81371500
0,05632000;-28,29066000;1,81371500
0,05888000;-23,71593000;1,81371500
0,06144000;-25,54704000;1,81371500
0,06400000;-25,54704000;1,81371500
0,06656000;-22,80038000;1,81371500
0,06912000;-23,71593000;1,81371500
0,07168000;-24,63149000;1,81371500
0,07424000;-23,71593000;1,81371500
0,07680000;-26,46260000;1,81371500
0,07936000;-24,63149000;1,81371500
0,08192000;-27,37815000;1,90466000
0,08448000;-25,54704000;1,90466000
0,08704000;-23,71593000;1,81371500
0,08960000;-25,54704000;1,90466000
0,09216000;-28,29066000;1,90466000
0,09472000;-25,54704000;1,90466000
0,09728000;-25,54704000;1,90466000
0,09984000;-26,46260000;1,90466000
0,10240000;-24,63149000;1,90466000
0,10496000;-25,54704000;1,90466000
0,10752000;-31,03732000;1,99560500
0,11008000;-25,54704000;1,90466000
0,11264000;-27,37815000;1,90466000
0,11520000;-27,37815000;1,99560500
0,11776000;-29,20621000;1,90466000
0,12032000;-27,37815000;1,99560500
0,12288000;-27,37815000;1,99560500
0,12544000;-26,46260000;1,99560500
0,12800000;-28,29066000;1,99560500
0,13056000;-26,46260000;1,99560500
0,13312000;-26,46260000;1,99560500
0,13568000;-29,20621000;2,08655000
0,13824000;-27,37815000;2,08655000
0,14080000;-27,37815000;2,08655000
0,14336000;-27,37815000;2,08655000
0,14592000;-29,20621000;2,08655000
0,14848000;-29,20621000;2,08655000
0,15104000;-28,29066000;2,08655000
0,15360000;-28,29066000;2,08655000
0,15616000;-27,37815000;2,08655000
0,15872000;-29,20621000;2,08655000
0,16128000;-29,20621000;2,08655000
0,16384000;-29,20621000;2,08655000
0,16640000;-28,29066000;2,08655000
0,16896000;-28,29066000;2,08655000
0,17152000;-29,20621000;2,08655000
0,17408000;-31,95288000;2,17749600
0,17664000;-31,03732000;2,17749600
0,17920000;-29,20621000;2,17749600
0,18176000;-29,20621000;2,17749600
0,18432000;-31,03732000;2,17749600
0,18688000;-29,20621000;2,17749600
0,18944000;-29,20621000;2,17749600
0,19200000;-29,20621000;2,26844100
0,19456000;-29,20621000;2,26844100
0,19712000;-31,95288000;2,26844100
0,19968000;-31,03732000;2,17749600
0,20224000;-31,95288000;2,17749600
0,20480000;-31,03732000;2,17749600
0,20736000;-31,03732000;2,26844100
0,20992000;-31,95288000;2,26844100
0,21248000;-31,95288000;2,26844100
0,21504000;-31,95288000;2,26844100
0,21760000;-31,95288000;2,26844100
0,22016000;-30,12177000;2,26844100
0,22272000;-33,78094000;2,26844100
0,22528000;-31,03732000;2,26844100
0,22784000;-31,03732000;2,26844100
0,23040000;-32,86843000;2,26844100
0,23296000;-32,86843000;2,26844100
0,23552000;-31,03732000;2,26844100
0,23808000;-31,03732000;2,26844100
0,24064000;-33,78094000;2,35938600
0,24320000;-32,86843000;2,35938600
0,24576000;-30,12177000;2,45033100
0,24832000;-32,86843000;2,45033100
0,25088000;-31,95288000;2,45033100
0,25344000;-32,86843000;2,45033100
0,25600000;-32,86843000;2,45033100
0,25856000;-34,69649000;2,45033100
0,26112000;-34,69649000;2,45033100
0,26368000;-35,61205000;2,45033100
0,26624000;-32,86843000;2,45033100
0,26880000;-33,78094000;2,45033100
0,27136000;-33,78094000;2,45033100
0,27392000;-34,69649000;2,45033100
0,27648000;-33,78094000;2,45033100
0,27904000;-34,69649000;2,45033100
0,28160000;-32,86843000;2,45033100
0,28416000;-30,12177000;2,45033100
0,28672000;-33,78094000;2,54127600
0,28928000;-32,86843000;2,45033100
0,29184000;-39,27427000;2,54127600
0,29440000;-34,69649000;2,54127600
0,29696000;-33,78094000;2,54127600
0,29952000;-35,61205000;2,54127600
0,30208000;-34,69649000;2,54127600
0,30464000;-37,44316000;2,54127600
0,30720000;-34,69649000;2,54127600
0,30976000;-36,52760000;2,54127600
0,31232000;-34,69649000;2,54127600
0,31488000;-35,61205000;2,63222100
0,31744000;-32,86843000;2,63222100
0,32000000;-40,18677000;2,63222100
0,32256000;-36,52760000;2,63222100
0,32512000;-33,78094000;2,54127600
0,32768000;-36,52760000;2,63222100
0,33024000;-31,95288000;2,63222100
0,33280000;-37,44316000;2,63222100
0,33536000;-36,52760000;2,63222100
0,33792000;-36,52760000;2,63222100
0,34048000;-36,52760000;2,63222100
0,34304000;-38,35871000;2,63222100
0,34560000;-37,44316000;2,63222100
0,34816000;-40,18677000;2,63222100
0,35072000;-38,35871000;2,63222100
0,35328000;-36,52760000;2,72347200
0,35584000;-34,69649000;2,72347200
0,35840000;-36,52760000;2,72347200
0,36096000;-36,52760000;2,72347200
0,36352000;-39,27427000;2,72347200
0,36608000;-38,35871000;2,72347200
0,36864000;-39,27427000;2,72347200
0,37120000;-36,52760000;2,72347200
0,37376000;-36,52760000;2,72347200
0,37632000;-36,52760000;2,72347200
0,37888000;-36,52760000;2,72347200
0,38144000;-39,27427000;2,72347200
0,38400000;-38,35871000;2,72347200
0,38656000;-39,27427000;2,72347200
0,38912000;-38,35871000;2,72347200
0,39168000;-36,52760000;2,72347200
0,39424000;-33,78094000;2,81441700
0,39680000;-39,27427000;2,81441700
0,39936000;-42,01788000;2,81441700
0,40192000;-42,01788000;2,81441700
0,40448000;-40,18677000;2,81441700
0,40704000;-40,18677000;2,90536200
0,40960000;-39,27427000;2,81441700
0,41216000;-39,27427000;2,81441700
0,41472000;-38,35871000;2,81441700
0,41728000;-39,27427000;2,81441700
0,41984000;-40,18677000;2,90536200
0,42240000;-37,44316000;2,90536200
0,42496000;-38,35871000;2,90536200
0,42752000;-42,01788000;2,90536200
0,43008000;-42,93344000;2,90536200
0,43264000;-42,01788000;2,90536200
0,43520000;-40,18677000;2,90536200
0,43776000;-41,10233000;2,90536200
0,44032000;-42,01788000;2,90536200
0,44288000;-41,10233000;2,90536200
0,44544000;-42,01788000;2,90536200
0,44800000;-42,93344000;2,90536200
0,45056000;-41,10233000;2,99630700
0,45312000;-40,18677000;2,99630700
0,45568000;-42,93344000;2,99630700
0,45824000;-42,93344000;2,99630700
0,46080000;-38,35871000;2,99630700
0,46336000;-43,84899000;2,99630700
0,46592000;-42,01788000;2,99630700
0,46848000;-45,67705000;2,99630700
0,47104000;-42,01788000;2,99630700
0,47360000;-42,93344000;2,99630700
0,47616000;-43,84899000;2,99630700
0,47872000;-42,01788000;2,99630700
0,48128000;-42,01788000;2,99630700
0,48384000;-42,01788000;3,08725200
0,48640000;-43,84899000;2,99630700
0,48896000;-42,93344000;2,99630700
0,49152000;-43,84899000;3,08725200
0,49408000;-42,93344000;3,08725200
0,49664000;-41,10233000;3,08725200
0,49920000;-45,67705000;3,08725200
0,50176000;-42,93344000;3,17819800
0,50432000;-42,93344000;3,08725200
0,50688000;-43,84899000;3,17819800
0,50944000;-39,27427000;3,17819800
0,51200000;-43,84899000;3,17819800
0,51456000;-43,84899000;3,17819800
0,51712000;-42,93344000;3,17819800
0,51968000;-44,76455000;3,17819800
0,52224000;-43,84899000;3,17819800
0,52480000;-45,67705000;3,17819800
0,52736000;-43,84899000;3,17819800
0,52992000;-45,67705000;3,17819800
0,53248000;-45,67705000;3,17819800
0,53504000;-43,84899000;3,17819800
0,53760000;-43,84899000;3,26914300
0,54016000;-43,84899000;3,26914300
0,54272000;-42,93344000;3,17819800
0,54528000;-46,59261000;3,26914300
0,54784000;-43,84899000;3,26914300
0,55040000;-50,25483000;3,26914300
0,55296000;-46,59261000;3,26914300
0,55552000;-46,59261000;3,26914300
0,55808000;-46,59261000;3,26914300
0,56064000;-45,67705000;3,26914300
0,56320000;-44,76455000;3,26914300
0,56576000;-43,84899000;3,26914300
0,56832000;-45,67705000;3,26914300
0,57088000;-46,59261000;3,36008800
0,57344000;-49,33927000;3,26914300
0,57600000;-46,59261000;3,36008800
0,57856000;-47,50816000;3,36008800
0,58112000;-45,67705000;3,26914300
0,58368000;-47,50816000;3,36008800
0,58624000;-47,50816000;3,36008800
0,58880000;-46,59261000;3,36008800
0,59136000;-44,76455000;3,36008800
0,59392000;-45,67705000;3,36008800
0,59648000;-47,50816000;3,36008800
0,59904000;-47,50816000;3,36008800
0,60160000;-49,33927000;3,36008800
0,60416000;-47,50816000;3,36008800
0,60672000;-49,33927000;3,45103300
0,60928000;-47,50816000;3,36008800
0,61184000;-45,67705000;3,36008800
0,61440000;-47,50816000;3,36008800
0,61696000;-47,50816000;3,45103300
0,61952000;-47,50816000;3,45103300
0,62208000;-43,84899000;3,45103300
0,62464000;-46,59261000;3,45103300
0,62720000;-45,67705000;3,45103300
0,62976000;-49,33927000;3,45103300
0,63232000;-49,33927000;3,54197800
0,63488000;-47,50816000;3,45103300
0,63744000;-47,50816000;3,45103300
0,64000000;-52,99844000;3,54197800
0,64256000;-47,50816000;3,45103300
0,64512000;-49,33927000;3,45103300
0,64768000;-47,50816000;3,54197800
0,65024000;-49,33927000;3,54197800
0,65280000;-50,25483000;3,54197800
0,65536000;-50,25483000;3,54197800
0,65792000;-50,25483000;3,45103300
0,66048000;-49,33927000;3,54197800
0,66304000;-49,33927000;3,54197800
0,66560000;-50,25483000;3,54197800
0,66816000;-49,33927000;3,63292300
0,67072000;-49,33927000;3,63292300
0,67328000;-49,33927000;3,54197800
0,67584000;-56,66066000;3,63292300
0,67840000;-51,17038000;3,63292300
0,68096000;-51,17038000;3,63292300
0,68352000;-49,33927000;3,54197800
0,68608000;-53,91400000;3,63292300
0,68864000;-50,25483000;3,63292300
0,69120000;-51,17038000;3,63292300
0,69376000;-50,25483000;3,63292300
0,69632000;-51,17038000;3,63292300
0,69888000;-52,08289000;3,63292300
0,70144000;-52,99844000;3,72386900
0,70400000;-51,17038000;3,72386900
0,70656000;-49,33927000;3,72386900
0,70912000;-47,50816000;3,72386900
0,71168000;-52,08289000;3,72386900
0,71424000;-55,74511000;3,72386900
0,71680000;-49,33927000;3,72386900
0,71936000;-51,17038000;3,72386900
0,72192000;-53,91400000;3,72386900
0,72448000;-52,99844000;3,72386900
0,72704000;-51,17038000;3,72386900
0,72960000;-52,99844000;3,72386900
0,73216000;-52,99844000;3,72386900
0,73472000;-51,17038000;3,72386900
0,73728000;-54,82955000;3,72386900
0,73984000;-52,99844000;3,72386900
0,74240000;-52,08289000;3,72386900
0,74496000;-51,17038000;3,81481400
0,74752000;-51,17038000;3,72386900
0,75008000;-53,91400000;3,90575900
0,75264000;-52,99844000;3,81481400
0,75520000;-51,17038000;3,90575900
0,75776000;-56,66066000;3,81481400
0,76032000;-52,08289000;3,81481400
0,76288000;-54,82955000;3,81481400
0,76544000;-52,99844000;3,81481400
0,76800000;-52,99844000;3,90575900
0,77056000;-52,99844000;3,90575900
0,77312000;-54,82955000;3,90575900
0,77568000;-51,17038000;3,90575900
0,77824000;-51,17038000;3,90575900
0,78080000;-54,82955000;3,90575900
0,78336000;-54,82955000;3,90575900
0,78592000;-51,17038000;3,90575900
0,78848000;-52,99844000;3,90575900
0,79104000;-56,66066000;3,90575900
0,79360000;-54,82955000;3,90575900
0,79616000;-53,91400000;3,99670400
0,79872000;-52,99844000;3,90575900
0,80128000;-54,82955000;3,90575900
0,80384000;-54,82955000;3,90575900
0,80640000;-54,82955000;3,90575900
0,80896000;-54,82955000;3,99670400
0,81152000;-53,91400000;3,99670400
0,81408000;-54,82955000;3,99670400
0,81664000;-53,91400000;3,99670400
0,81920000;-54,82955000;3,99670400
0,82176000;-54,82955000;3,99670400
0,82431999;-50,25483000;3,99670400
0,82687999;-53,91400000;3,99670400
0,82943999;-56,66066000;3,99670400
0,83199999;-54,82955000;3,99670400
0,83455999;-56,66066000;3,99670400
0,83711999;-54,82955000;4,08764900
0,83967999;-53,91400000;4,08764900
0,84223999;-56,66066000;3,99670400
0,84479999;-56,66066000;3,99670400
0,84735999;-56,66066000;3,99670400
0,84991999;-55,74511000;3,99670400
0,85247999;-54,82955000;4,08764900
0,85503999;-54,82955000;4,08764900
0,85759999;-56,66066000;4,08764900
0,86015999;-53,91400000;4,08764900
0,86271999;-58,48872000;4,08764900
0,86527999;-54,82955000;4,08764900
0,86783999;-58,48872000;4,08764900
0,87039999;-57,57317000;4,08764900
0,87295999;-58,48872000;4,08764900
0,87551999;-58,48872000;4,08764900
0,87807999;-54,82955000;4,08764900
0,88063999;-56,66066000;4,08764900
0,88319999;-59,40428000;4,08764900
0,88575999;-56,66066000;4,08764900
0,88831999;-56,66066000;4,08764900
0,89087999;-57,57317000;4,17859400
0,89343999;-58,48872000;4,08764900
0,89599999;-55,74511000;4,08764900
0,89855999;-58,48872000;4,08764900
0,90111999;-55,74511000;4,08764900
0,90367999;-56,66066000;4,17859400
0,90623999;-59,40428000;4,17859400
